# 
# FILTER  = 'clear'                                                             
# EXPTIME = 820                                                                 
# OBJECT  = 'PTF15kb'                                                           
# TARGNAME= 'PTF15af_S2'                                                        
# ROTPOSN = 139.99810                                                           
# DICHNAME= 560                                                                 
# GRISNAME= '400/3400'                                                          
# BLUFILT = 'clear'                                                             
# SLITNAME= 'long_1.0'                                                          
# INSTRUME= 'LRIS+LRISBLUE'      /                                                
# TELESCOP= 'Keck I'                                                            
# UTC     = '07:16:37.59'                                                       
# MJD-OBS = 57104.303213                                                        
# AZ      = -37.2990070000                                                      
# EL      = 87.3839800000                                                       
# RA      = '08:48:28.87'                                                       
# DEC     = '+22:03:24.7'                                                       
# EQUINOX = 2000.0000                                                           
# AIRMASS = 1.00104120000                                                       
# SUNELEV = -41.630958                                                          
# MOONELEV= -1.6826475                                                          
# MOONDIST= 86.219415                                                           
# SLITPA  = 229.998                                                             
# DATE_BEG= '2015-03-23T07:16:37'                                               
# DATE_END= '2015-03-23T07:30:17'                                               
# YEXTRACT= 68.8039                                                             
# APRAD   = 2.00000                                                             
# APSHARP = 6                                                                   
# NSATURAT=                    0 /                                                
# NWAV    =                 5163 /                                                
# BAKDIST = 3.50000                                                             
# BAKWIDTH= 8.00000                                                             
# INFILE0 = 'spredux/ceszfpr150323_0090r.spec' /                                  
# TOTALEXP= 820.000                                                             
# BLUEXPTM=              820.000 /                                                
# BLUBIN  = '2,2     '           /                                                
# BLUAPRAD=              2.00000 /                                                
# BLUBKDST=              3.50000 /                                                
# BLUARCF =                    0 /                                                
# BLUCWAV =        3612.31430000 /                                                
# BLUDISP =              2.18000 /                                                
# BLUFCAL1= 'spredux/eszfpb150323_0087r.spec' /                                   
# BLUFCAL2= 'spredux/eszfpb150323_0088r.spec' /                                   
# BLUFAIR1=              1.40040 /                                                
# BLUFAIR2=              1.40484 /                                                
# BLUFNAM1= 'G191-B2B'           /                                                
# BLUFNAM2= 'G191-B2B'           /                                                
# INCFILE1= 'spredux/vcPTF15af_r400-8500.spec' /                                  
# RESCALE1=        1.16709945200 /                                                
# WAVOVER1= '5600.5093-5719.2871' /                                               
# ATCHWAV1=        5620.30859375 /                                                
# REDEXPTM=              800.000 /                                                
# REDBIN  = '2,1     '           /                                                
# REDAPRAD=              2.00000 /                                                
# REDBKDST=              3.50000 /                                                
# REDARCF =                    0 /                                                
# REDCWAV =        7888.48360000 /                                                
# REDDISP =              1.16000 /                                                
# REDFCAL1= 'spredux/eszfpr150323_0084r.spec' /                                   
# REDFCAL2= 'spredux/eszfpr150323_0085r.spec' /                                   
# REDFAIR1=              1.40105 /                                                
# REDFAIR2=              1.40671 /                                                
# REDFNAM1= 'G191-B2B'           /                                                
# REDFNAM2= 'G191-B2B'           /                                                
#                    0                                                            
# REDFILT = 'Clear   '           /                                                
# WAVELEN =        7829.41410000 /                                                
# END                                                                             
# wavelength     flux         sky_flux     flux_unc     xpixel  ypixel  response
  3286.7800  2.16363e-16  5.58853e-17  9.88327e-18  865        68.210  3.11939e+15
  3288.7869  2.20958e-16  6.27088e-17  1.00029e-17  866        68.213  3.15780e+15
  3290.7942  2.13405e-16  6.21368e-17  9.80617e-18  867        68.216  3.19641e+15
  3292.8022  2.32585e-16  7.28808e-17  1.02130e-17  868        68.220  3.23522e+15
  3294.8108  2.22955e-16  8.20120e-17  1.01395e-17  869        68.223  3.27422e+15
  3296.8198  2.13515e-16  8.11915e-17  9.91723e-18  870        68.226  3.31342e+15
  3298.8296  2.20683e-16  7.70580e-17  9.90067e-18  871        68.230  3.35283e+15
  3300.8398  2.10691e-16  7.19911e-17  9.60616e-18  872        68.233  3.39242e+15
  3302.8508  2.14255e-16  6.49384e-17  9.49147e-18  873        68.237  3.43222e+15
  3304.8623  2.25328e-16  5.94062e-17  9.51777e-18  874        68.240  3.47221e+15
  3306.8743  2.15977e-16  5.50355e-17  9.24656e-18  875        68.243  3.51239e+15
  3308.8867  1.96023e-16  5.52483e-17  8.87701e-18  876        68.247  3.55277e+15
  3310.8999  2.07100e-16  5.73718e-17  9.03146e-18  877        68.250  3.59333e+15
  3312.9138  1.98859e-16  5.95227e-17  8.88114e-18  878        68.254  3.63409e+15
  3314.9280  2.16157e-16  6.45254e-17  9.17005e-18  879        68.257  3.67503e+15
  3316.9429  2.14563e-16  7.03643e-17  9.17872e-18  880        68.260  3.71617e+15
  3318.9583  2.16601e-16  7.02362e-17  9.15261e-18  881        68.264  3.75748e+15
  3320.9741  2.29241e-16  6.54375e-17  9.21337e-18  882        68.267  3.79897e+15
  3322.9907  2.30180e-16  6.08110e-17  9.10629e-18  883        68.271  3.84065e+15
  3325.0078  2.11620e-16  5.80758e-17  8.74032e-18  884        68.274  3.88250e+15
  3327.0254  2.20392e-16  5.51968e-17  8.77722e-18  885        68.278  3.92452e+15
  3329.0437  2.23498e-16  5.15589e-17  8.71920e-18  886        68.281  3.96671e+15
  3331.0625  2.26928e-16  5.10604e-17  8.71240e-18  887        68.285  4.00907e+15
  3333.0818  2.17896e-16  4.66212e-17  8.46604e-18  888        68.288  4.05160e+15
  3335.1018  2.16687e-16  4.63794e-17  8.39713e-18  889        68.292  4.09428e+15
  3337.1221  2.09842e-16  4.37895e-17  8.21038e-18  890        68.295  4.13712e+15
  3339.1431  2.13911e-16  4.13757e-17  8.18948e-18  891        68.299  4.18011e+15
  3341.1646  2.16933e-16  4.18413e-17  8.19581e-18  892        68.302  4.22325e+15
  3343.1868  2.10358e-16  3.79119e-17  7.99615e-18  893        68.306  4.26653e+15
  3345.2092  2.15059e-16  3.68251e-17  8.00617e-18  894        68.309  4.30995e+15
  3347.2324  2.08522e-16  3.91605e-17  7.90125e-18  895        68.313  4.35351e+15
  3349.2561  2.12215e-16  3.84602e-17  7.90291e-18  896        68.316  4.39719e+15
  3351.2805  2.23038e-16  3.69019e-17  7.99473e-18  897        68.320  4.44101e+15
  3353.3052  2.30712e-16  3.64176e-17  8.05456e-18  898        68.323  4.48493e+15
  3355.3303  2.10236e-16  3.84382e-17  7.74998e-18  899        68.327  4.52897e+15
  3357.3562  2.14788e-16  3.77364e-17  7.76510e-18  900        68.330  4.57312e+15
  3359.3828  2.18017e-16  3.59218e-17  7.74537e-18  901        68.334  4.61738e+15
  3361.4097  2.15055e-16  3.62323e-17  7.66834e-18  902        68.337  4.66172e+15
  3363.4370  2.16649e-16  3.56803e-17  7.64431e-18  903        68.341  4.70616e+15
  3365.4651  2.20802e-16  4.24508e-17  7.75808e-18  904        68.344  4.75069e+15
  3367.4934  2.10349e-16  5.97408e-17  7.81290e-18  905        68.348  4.79529e+15
  3369.5227  2.17970e-16  7.35824e-17  8.05914e-18  906        68.352  4.83997e+15
  3371.5520  2.08195e-16  7.86135e-17  7.95827e-18  907        68.355  4.88470e+15
  3373.5823  2.08901e-16  7.25432e-17  7.84981e-18  908        68.359  4.92951e+15
  3375.6128  2.11543e-16  7.19377e-17  7.83885e-18  909        68.362  4.97436e+15
  3377.6440  2.07293e-16  6.88375e-17  7.70575e-18  910        68.366  5.01926e+15
  3379.6758  2.10557e-16  5.69608e-17  7.55597e-18  911        68.369  5.06421e+15
  3381.7078  2.11166e-16  5.57216e-17  7.51234e-18  912        68.373  5.10917e+15
  3383.7405  2.14314e-16  5.88375e-17  7.55966e-18  913        68.377  5.15417e+15
  3385.7737  2.07944e-16  5.17834e-17  7.34857e-18  914        68.380  5.19919e+15
  3387.8076  2.16322e-16  4.87215e-17  7.38514e-18  915        68.384  5.24422e+15
  3389.8418  2.12658e-16  4.71760e-17  7.28343e-18  916        68.387  5.28925e+15
  3391.8765  2.10529e-16  4.21997e-17  7.15687e-18  917        68.391  5.33428e+15
  3393.9119  1.97700e-16  4.39771e-17  6.97702e-18  918        68.395  5.37930e+15
  3395.9475  2.09719e-16  4.08278e-17  7.06482e-18  919        68.398  5.42430e+15
  3397.9839  2.11624e-16  4.09703e-17  7.06097e-18  920        68.402  5.46928e+15
  3400.0208  2.01689e-16  4.10541e-17  6.90013e-18  921        68.406  5.51423e+15
  3402.0581  2.15084e-16  4.02370e-17  7.03588e-18  922        68.409  5.55914e+15
  3404.0957  2.07452e-16  3.74972e-17  6.87052e-18  923        68.413  5.60399e+15
  3406.1340  2.01560e-16  3.65262e-17  6.75077e-18  924        68.416  5.64880e+15
  3408.1731  1.98113e-16  3.35604e-17  6.63692e-18  925        68.420  5.69356e+15
  3410.2124  1.91451e-16  3.21391e-17  6.50025e-18  926        68.424  5.73824e+15
  3412.2522  2.03560e-16  3.28362e-17  6.64512e-18  927        68.427  5.78284e+15
  3414.2925  2.08150e-16  3.53228e-17  6.71076e-18  928        68.431  5.82737e+15
  3416.3333  2.14157e-16  3.68969e-17  6.78133e-18  929        68.435  5.87181e+15
  3418.3745  2.12772e-16  4.25058e-17  6.80797e-18  930        68.438  5.91615e+15
  3420.4165  2.00021e-16  4.31200e-17  6.62695e-18  931        68.442  5.96040e+15
  3422.4587  2.14153e-16  4.05016e-17  6.74721e-18  932        68.446  6.00453e+15
  3424.5015  2.09778e-16  4.55847e-17  6.73012e-18  933        68.450  6.04854e+15
  3426.5449  2.17200e-16  4.24857e-17  6.75815e-18  934        68.453  6.09244e+15
  3428.5886  2.13302e-16  4.07839e-17  6.66352e-18  935        68.457  6.13621e+15
  3430.6328  2.04388e-16  4.04336e-17  6.52298e-18  936        68.461  6.17984e+15
  3432.6777  2.06238e-16  3.87650e-17  6.50119e-18  937        68.464  6.22334e+15
  3434.7229  2.00670e-16  4.24099e-17  6.45336e-18  938        68.468  6.26669e+15
  3436.7688  2.04078e-16  4.13354e-17  6.45922e-18  939        68.472  6.30989e+15
  3438.8149  1.87521e-16  4.61771e-17  6.28886e-18  940        68.476  6.35293e+15
