# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23lli
# CHANNEL = B+R
# EXPNUM = 23_179_081_003
# MJD-OBS = 60123.540295
# DATE-OBS = 2023-06-28T12:58:03
# EXPTIME = 2400.0s
# AIRMASS = 1.19
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 22:57:39.47
# DEC = 40:32:40.70
# wl fl err
# [A] [erg/s/cm2/A]
4312.480000 3.650496e-16 1.303827e-17
4315.480000 3.585143e-16 1.242259e-17
4318.480000 3.676347e-16 1.146826e-17
4321.480000 3.663422e-16 1.225456e-17
4324.480000 3.592741e-16 1.294756e-17
4327.480000 3.535738e-16 1.206298e-17
4330.480000 3.390643e-16 1.118511e-17
4333.480000 3.485262e-16 1.241224e-17
4336.480000 3.468532e-16 1.282823e-17
4339.480000 3.694912e-16 1.193859e-17
4342.480000 3.606032e-16 1.141222e-17
4345.480000 3.668585e-16 1.283584e-17
4348.480000 3.567754e-16 1.293573e-17
4351.480000 3.513389e-16 1.149479e-17
4354.480000 3.428728e-16 1.127545e-17
4357.480000 3.415120e-16 1.289943e-17
4360.480000 3.687870e-16 1.312971e-17
4363.480000 3.674346e-16 1.151580e-17
4366.480000 3.680630e-16 1.167053e-17
4369.480000 3.738035e-16 1.300466e-17
4372.480000 3.650450e-16 1.260924e-17
4375.480000 3.570811e-16 1.123589e-17
4378.480000 3.412151e-16 1.155703e-17
4381.480000 3.332656e-16 1.252655e-17
4384.480000 3.581465e-16 1.217823e-17
4387.480000 3.685339e-16 1.122058e-17
4390.480000 3.666248e-16 1.202410e-17
4393.480000 3.687340e-16 1.278330e-17
4396.480000 3.755759e-16 1.205198e-17
4399.480000 3.876546e-16 1.140415e-17
4402.480000 3.657109e-16 1.221048e-17
4405.480000 3.477570e-16 1.264723e-17
4408.480000 3.438084e-16 1.164193e-17
4411.480000 3.439216e-16 1.116663e-17
4414.480000 3.577844e-16 1.260428e-17
4417.480000 3.850010e-16 1.305743e-17
4420.480000 3.859024e-16 1.175116e-17
4423.480000 3.619059e-16 1.131565e-17
4426.480000 3.483507e-16 1.280329e-17
4429.480000 3.542515e-16 1.285844e-17
4432.480000 3.613116e-16 1.127457e-17
4435.480000 3.581361e-16 1.138912e-17
4438.480000 3.499098e-16 1.265923e-17
4441.480000 3.367526e-16 1.234506e-17
4444.480000 3.250180e-16 1.084401e-17
4447.480000 3.258360e-16 1.124263e-17
4450.480000 3.364171e-16 1.235826e-17
4453.480000 3.392060e-16 1.195010e-17
4456.480000 3.173875e-16 1.065768e-17
4459.480000 3.093859e-16 1.121698e-17
4462.480000 3.204359e-16 1.209152e-17
4465.480000 3.133316e-16 1.135854e-17
4468.480000 3.145949e-16 1.054817e-17
