WAVE,FLUX,ERR,BGFLUX
9445.653,4.1367707E-16,1.4583078E-17,7.6858557E-16
9449.868,3.774706E-16,1.383237E-17,6.211654E-16
9454.082,3.7393818E-16,1.3952328E-17,6.3880086E-16
9458.297,3.446738E-16,1.3936081E-17,6.5967545E-16
9462.511,3.8367027E-16,1.3627083E-17,5.375343E-16
9466.725,3.822579E-16,1.4416674E-17,6.957848E-16
9470.939,4.2957684E-16,1.6077063E-17,1.0179921E-15
9475.153,4.0183013E-16,1.6488267E-17,1.1359593E-15
9479.368,3.9389377E-16,1.651535E-17,1.1364141E-15
9483.582,3.8171598E-16,1.4460963E-17,6.491348E-16
9487.796,3.8194966E-16,1.26137045E-17,2.6193088E-16
9492.011,3.9673345E-16,1.3192046E-17,3.4831512E-16
9496.225,3.8187228E-16,1.3931311E-17,5.0832925E-16
9500.439,3.6440369E-16,1.4181737E-17,5.6723224E-16
9504.653,3.635676E-16,1.424461E-17,5.622299E-16
9508.868,4.2977094E-16,1.4730904E-17,5.6960234E-16
9513.082,4.19678E-16,1.4973837E-17,6.200354E-16
9517.296,3.5192467E-16,1.483437E-17,6.611378E-16
9521.511,3.7800312E-16,1.4848377E-17,6.3113574E-16
9525.725,3.5800795E-16,1.4115663E-17,4.9045055E-16
9529.939,3.7280472E-16,1.3312762E-17,3.012846E-16
9534.153,4.0308826E-16,1.3501074E-17,2.8596272E-16
9538.367,4.3504414E-16,1.3498511E-17,2.3334315E-16
9542.582,3.6773027E-16,1.3726491E-17,3.475919E-16
9546.796,3.6800532E-16,1.4387528E-17,4.6658577E-16
9551.011,3.8536926E-16,1.4378608E-17,4.3933383E-16
9555.225,3.8052677E-16,1.4942239E-17,5.477474E-16
9559.438,3.94939E-16,1.5885583E-17,7.2154634E-16
9563.653,3.743675E-16,1.6161688E-17,7.924965E-16
9567.867,4.3339568E-16,1.613305E-17,6.933814E-16
9572.082,3.966297E-16,1.549316E-17,5.8183863E-16
9576.296,3.8078176E-16,1.417734E-17,3.2321965E-16
9580.51,3.8015643E-16,1.373905E-17,2.3178284E-16
9584.725,3.5175825E-16,1.3579548E-17,2.2827186E-16
9588.938,3.7406206E-16,1.37988764E-17,2.383856E-16
9593.153,4.1887195E-16,1.3957023E-17,2.121897E-16
9597.367,3.661955E-16,1.4429395E-17,2.9762888E-16
9601.581,3.6303575E-16,1.4640435E-17,3.673028E-16
9605.796,3.8837234E-16,1.4845654E-17,3.561797E-16
9610.01,3.6202561E-16,1.5068197E-17,4.159469E-16
9614.225,3.577074E-16,1.5217198E-17,4.3737883E-16
9618.438,3.6819114E-16,1.515448E-17,4.0377844E-16
9622.652,3.7398286E-16,1.5257904E-17,4.0129732E-16
9626.867,3.674955E-16,1.503715E-17,3.5458525E-16
9631.081,3.842177E-16,1.4753875E-17,2.6984053E-16
9635.296,3.891903E-16,1.4752397E-17,2.5033148E-16
9639.51,3.7936583E-16,1.4481573E-17,2.015054E-16
9643.724,3.452946E-16,1.4459678E-17,2.2722154E-16
9647.938,3.41457E-16,1.4814856E-17,2.8565876E-16
9652.152,3.3406995E-16,1.4903009E-17,2.9207589E-16
