# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2022adm
# CHANNEL = B+R
# EXPNUM = 22_043_048_003
# MJD-OBS = 59622.550833
# DATE-OBS = 2022-02-12T13:12:57
# EXPTIME = 1800.0s
# AIRMASS = 1.16
# FLUXCAL_RMS_B = 0.103 mag
# FLUXCAL_RMS_R = 0.067 mag
# RA = 14:27:51.40
# DEC = 28:10:28.99
# wl fl err
# [A] [erg/s/cm2/A]
4464.860000 2.258299e-16 2.302137e-17
4467.860000 2.273264e-16 2.173093e-17
4470.860000 2.474968e-16 2.047642e-17
4473.860000 2.337685e-16 2.221009e-17
4476.860000 1.963854e-16 2.283160e-17
4479.860000 1.983346e-16 2.101017e-17
4482.860000 2.297461e-16 2.027932e-17
4485.860000 2.399901e-16 2.261706e-17
4488.860000 2.141775e-16 2.295679e-17
4491.860000 2.261997e-16 2.081265e-17
4494.860000 2.386852e-16 2.041923e-17
4497.860000 2.334489e-16 2.318860e-17
4500.860000 2.516671e-16 2.350458e-17
4503.860000 2.611272e-16 2.077228e-17
4506.860000 2.621140e-16 2.086632e-17
4509.860000 2.441361e-16 2.319547e-17
4512.860000 2.067117e-16 2.258328e-17
4515.860000 2.084207e-16 2.010003e-17
4518.860000 1.952619e-16 2.068860e-17
4521.860000 2.064636e-16 2.271639e-17
4524.860000 2.266625e-16 2.199861e-17
4527.860000 2.343859e-16 1.990041e-17
4530.860000 2.229817e-16 2.096134e-17
4533.860000 2.169034e-16 2.242998e-17
4536.860000 2.324793e-16 2.129777e-17
4539.860000 2.292047e-16 1.972238e-17
4542.860000 2.397622e-16 2.150189e-17
4545.860000 2.293382e-16 2.264205e-17
4548.860000 1.998660e-16 2.068494e-17
4551.860000 1.949735e-16 1.948030e-17
4554.860000 1.871277e-16 2.136726e-17
4557.860000 2.008812e-16 2.204574e-17
4560.860000 2.287537e-16 2.028341e-17
4563.860000 2.185582e-16 1.974070e-17
4566.860000 2.075316e-16 2.219723e-17
4569.860000 1.830344e-16 2.219948e-17
4572.860000 1.985442e-16 1.967429e-17
4575.860000 2.013155e-16 1.978294e-17
4578.860000 2.098496e-16 2.246351e-17
4581.860000 2.165277e-16 2.238321e-17
4584.860000 2.167174e-16 1.958363e-17
4587.860000 2.219226e-16 1.995329e-17
4590.860000 2.156407e-16 2.217476e-17
4593.860000 2.249410e-16 2.160806e-17
4596.860000 2.152931e-16 1.936743e-17
4599.860000 1.858334e-16 2.006098e-17
4602.860000 1.742895e-16 2.158332e-17
4605.860000 1.813563e-16 2.047395e-17
4608.860000 2.025801e-16 1.906239e-17
4611.860000 2.272958e-16 2.081231e-17
4614.860000 2.252754e-16 2.204428e-17
4617.860000 2.036381e-16 2.038143e-17
4620.860000 2.009067e-16 1.917225e-17
4623.860000 2.330729e-16 2.134727e-17
4626.860000 2.330794e-16 2.193916e-17
4629.860000 2.089867e-16 1.978523e-17
4632.860000 2.263119e-16 1.929798e-17
4635.860000 2.336842e-16 2.169784e-17
4638.860000 1.786094e-16 2.164098e-17
4641.860000 2.048412e-16 1.925169e-17
4644.860000 2.442015e-16 1.947029e-17
4647.860000 2.245169e-16 2.178519e-17
4650.860000 2.006310e-16 2.153308e-17
4653.860000 2.448088e-16 1.931600e-17
4656.860000 2.220334e-16 1.955325e-17
4659.860000 2.098905e-16 2.168309e-17
4662.860000 2.201995e-16 2.104523e-17
4665.860000 2.332316e-16 1.896934e-17
4668.860000 2.174628e-16 1.971400e-17
4671.860000 2.284401e-16 2.146893e-17
4674.860000 2.251943e-16 2.039077e-17
4677.860000 2.187579e-16 1.884168e-17
4680.860000 2.057597e-16 2.011790e-17
4683.860000 1.944205e-16 2.123576e-17
4686.860000 1.893472e-16 1.961924e-17
4689.860000 2.003166e-16 1.857080e-17
4692.860000 2.227231e-16 2.067970e-17
4695.860000 2.298464e-16 2.156265e-17
4698.860000 2.041862e-16 1.942150e-17
4701.860000 1.914138e-16 1.861263e-17
4704.860000 2.289323e-16 2.120990e-17
4707.860000 2.377303e-16 2.158334e-17
4710.860000 2.192622e-16 1.917168e-17
4713.860000 2.399542e-16 1.921347e-17
4716.860000 2.559701e-16 2.185916e-17
4719.860000 2.162283e-16 2.154151e-17
4722.860000 2.150435e-16 1.891021e-17
4725.860000 2.483236e-16 1.943434e-17
4728.860000 2.129434e-16 2.124027e-17
4731.860000 1.954472e-16 2.066747e-17
4734.860000 2.119513e-16 1.855411e-17
4737.860000 2.579578e-16 1.973659e-17
4740.860000 2.407435e-16 2.116851e-17
4743.860000 2.132282e-16 2.026678e-17
4746.860000 2.130500e-16 1.845251e-17
4749.860000 2.185068e-16 1.984802e-17
4752.860000 2.264036e-16 2.113656e-17
4755.860000 2.346377e-16 1.979873e-17
4758.860000 2.633116e-16 1.872463e-17
4761.860000 2.369654e-16 2.023909e-17
4764.860000 2.006669e-16 2.075036e-17
4767.860000 1.984294e-16 1.914896e-17
4770.860000 2.299690e-16 1.863010e-17
4773.860000 2.528354e-16 2.097583e-17
4776.860000 2.032593e-16 2.099295e-17
4779.860000 2.144348e-16 1.894379e-17
4782.860000 2.382296e-16 1.879576e-17
4785.860000 2.250031e-16 2.128356e-17
4788.860000 2.214646e-16 2.123946e-17
4791.860000 2.387323e-16 1.880519e-17
4794.860000 2.283106e-16 1.888951e-17
4797.860000 2.367302e-16 2.122229e-17
4800.860000 2.277897e-16 2.077067e-17
4803.860000 2.294794e-16 1.848743e-17
4806.860000 2.179753e-16 1.916880e-17
4809.860000 2.462087e-16 2.104718e-17
4812.860000 2.460447e-16 2.044688e-17
4815.860000 2.318098e-16 1.848842e-17
4818.860000 2.242725e-16 1.973418e-17
4821.860000 2.331790e-16 2.117756e-17
4824.860000 2.307946e-16 1.989017e-17
4827.860000 2.148641e-16 1.833840e-17
4830.860000 2.475899e-16 2.019586e-17
4833.860000 2.695835e-16 2.133761e-17
4836.860000 2.636701e-16 1.958384e-17
4839.860000 2.602447e-16 1.873239e-17
4842.860000 2.559163e-16 2.092255e-17
4845.860000 2.466550e-16 2.133273e-17
