wavelength flux
4723.3315 3.09017e-17
4725.5283 2.90124e-17
4727.7246 2.99987e-17
4729.9214 2.96462e-17
4732.1177 3.04194e-17
4734.3145 2.77074e-17
4736.5112 2.59522e-17
4738.7085 2.86153e-17
4740.9053 3.076e-17
4743.1021 3.23954e-17
4745.2993 3.29535e-17
4747.4966 3.07409e-17
4749.6934 3.60519e-17
4751.8906 3.32915e-17
4754.0884 3.45546e-17
4756.2856 3.5431e-17
4758.4829 3.68514e-17
4760.6807 3.462e-17
4762.8784 3.79537e-17
4765.0757 3.67667e-17
4767.2734 3.52482e-17
4769.4712 3.7361e-17
4771.6689 3.4617e-17
4773.8672 3.47549e-17
4776.0649 3.39956e-17
4778.2632 3.50425e-17
4780.4609 3.52105e-17
4782.6592 3.6355e-17
4784.8574 3.8026e-17
4787.0557 3.82517e-17
4789.2539 3.7783e-17
4791.4526 3.49403e-17
4793.6509 3.53777e-17
4795.8496 3.708e-17
4798.0479 3.54033e-17
4800.2466 3.7641e-17
4802.4453 3.43222e-17
4804.644 3.49367e-17
4806.8428 3.62513e-17
4809.0415 3.24616e-17
4811.2407 3.58983e-17
4813.4395 3.37855e-17
4815.6387 3.58726e-17
4817.8374 3.81211e-17
4820.0366 3.6801e-17
4822.2358 3.68796e-17
4824.4351 3.67488e-17
4826.6343 3.64067e-17
4828.8335 3.64035e-17
4831.0332 3.88483e-17
4833.2324 3.48563e-17
4835.4316 3.45445e-17
4837.6313 3.61264e-17
4839.8311 3.5441e-17
4842.0308 3.585e-17
4844.23 3.52484e-17
4846.4297 3.50839e-17
4848.6299 3.73073e-17
4850.8296 3.74032e-17
4853.0293 3.64645e-17
4855.2295 3.60515e-17
4857.4292 3.78507e-17
4859.6294 3.90933e-17
4861.8291 3.88182e-17
4864.0293 3.97681e-17
4866.2295 3.91241e-17
4868.4297 3.9716e-17
4870.6299 3.84467e-17
4872.8301 4.08956e-17
4875.0303 3.61297e-17
4877.2305 3.67633e-17
4879.4312 4.20481e-17
4881.6318 3.69882e-17
4883.832 3.66234e-17
4886.0327 3.7099e-17
4888.2329 3.64069e-17
4890.4336 3.53553e-17
4892.6343 3.53066e-17
4894.835 3.59254e-17
4897.0356 3.83205e-17
4899.2363 3.89567e-17
4901.437 3.67089e-17
4903.6382 3.79588e-17
4905.8389 3.70098e-17
4908.04 3.52286e-17
4910.2407 3.84002e-17
4912.4419 4.23304e-17
4914.6426 3.60755e-17
4916.8438 3.38341e-17
4919.0449 3.64983e-17
4921.2461 3.64015e-17
4923.4473 3.89355e-17
4925.6484 3.51069e-17
4927.8496 3.58303e-17
4930.0508 3.59359e-17
4932.252 3.46362e-17
4934.4531 3.64705e-17
4936.6548 3.61007e-17
4938.856 3.54921e-17
4941.0576 3.43904e-17
4943.2588 3.19284e-17
4945.4604 3.4016e-17
4947.6616 3.41422e-17
4949.8633 3.28696e-17
4952.0649 3.34618e-17
4954.2666 3.39587e-17
4956.4683 3.70073e-17
4958.6699 3.48364e-17
4960.8716 3.4456e-17
4963.0732 3.37737e-17
4965.2749 3.56087e-17
4967.4766 3.54452e-17
4969.6782 3.37488e-17
4971.8804 3.44006e-17
4974.082 3.6131e-17
