wavelength flux
4399.457 4.1424e-16
4401.6372 4.16793e-16
4403.8179 4.08669e-16
4405.9985 4.09091e-16
4408.1792 4.10446e-16
4410.3599 4.02661e-16
4412.541 4.0173e-16
4414.7222 4.01503e-16
4416.9038 4.16477e-16
4419.085 4.01122e-16
4421.2671 3.85636e-16
4423.4487 3.8147e-16
4425.6304 3.74925e-16
4427.8125 3.82806e-16
4429.9951 3.9466e-16
4432.1772 3.94443e-16
4434.3599 3.9051e-16
4436.5425 3.82911e-16
4438.7251 3.95939e-16
4440.9082 4.06194e-16
4443.0913 4.05504e-16
4445.2744 3.88399e-16
4447.458 3.83008e-16
4449.6416 3.79088e-16
4451.8252 3.87023e-16
4454.0088 3.87921e-16
4456.1929 3.86538e-16
4458.3765 3.80381e-16
4460.561 3.93172e-16
4462.7451 3.99173e-16
4464.9297 4.11661e-16
4467.1143 4.03142e-16
4469.2988 3.84226e-16
4471.4839 3.70527e-16
4473.6689 3.65852e-16
4475.854 3.81267e-16
4478.0391 3.9059e-16
4480.2246 3.82683e-16
4482.4102 3.83718e-16
4484.5957 3.74759e-16
4486.7812 3.93107e-16
4488.9673 3.8616e-16
4491.1533 3.73897e-16
4493.3394 3.78057e-16
4495.5259 3.7601e-16
4497.7119 3.73709e-16
4499.8984 3.65635e-16
4502.0854 3.49849e-16
4504.272 3.5254e-16
4506.459 3.54334e-16
4508.646 3.4899e-16
4510.833 3.41689e-16
4513.0205 3.48549e-16
4515.2075 3.75416e-16
4517.395 3.93303e-16
4519.583 4.12196e-16
4521.7705 3.98203e-16
4523.9585 3.91738e-16
4526.1465 3.73329e-16
4528.3345 3.73103e-16
4530.5225 3.89558e-16
4532.7109 3.93211e-16
4534.8994 4.06792e-16
4537.0879 3.91865e-16
4539.2769 3.80364e-16
4541.4653 3.55647e-16
4543.6543 3.66219e-16
4545.8433 3.82833e-16
4548.0327 3.88881e-16
4550.2217 3.89098e-16
4552.4111 3.93584e-16
4554.6006 3.90212e-16
4556.79 3.88006e-16
4558.98 3.86466e-16
4561.1699 3.93228e-16
4563.3599 3.90815e-16
4565.5498 3.97766e-16
4567.7397 3.97221e-16
4569.9302 4.01054e-16
4572.1206 3.98922e-16
4574.311 3.95159e-16
4576.5015 3.89933e-16
4578.6919 3.81757e-16
4580.8828 3.949e-16
4583.0737 3.94591e-16
4585.2646 3.9049e-16
4587.4556 3.7054e-16
4589.647 3.52407e-16
4591.8384 3.67569e-16
4594.0298 3.76907e-16
4596.2212 3.85331e-16
4598.4126 3.8408e-16
4600.6045 3.94333e-16
4602.7964 4.10473e-16
4604.9883 3.86791e-16
4607.1802 3.83689e-16
4609.3721 3.73743e-16
4611.5645 3.75032e-16
4613.7568 3.83717e-16
4615.9492 3.95414e-16
4618.1416 3.94391e-16
4620.334 3.94098e-16
4622.5269 3.85205e-16
4624.7197 3.92524e-16
4626.9126 4.00149e-16
4629.1055 3.94304e-16
4631.2983 4.03367e-16
4633.4917 3.97502e-16
4635.6851 3.98812e-16
4637.8784 3.99778e-16
4640.0718 3.92282e-16
4642.2651 3.92359e-16
4644.4585 4.04685e-16
4646.6523 3.94266e-16
4648.8462 3.98889e-16
4651.04 3.95075e-16
4653.2339 4.01455e-16
4655.4282 4.03675e-16
4657.6221 3.95938e-16
4659.8164 4.0249e-16
4662.0107 3.91565e-16
4664.2051 3.89318e-16
4666.3994 3.73286e-16
4668.5942 3.79892e-16
