WAVE,FLUX,ERR,BGFLUX
3952.6904,2.561143E-17,5.17942E-18,2.4694052E-16
3958.21,3.043628E-17,4.897747E-18,1.9440351E-16
3963.7297,2.9270123E-17,4.7633725E-18,1.7927222E-16
3969.2493,2.6361801E-17,4.8364845E-18,2.0259713E-16
3974.769,2.910052E-17,5.0265293E-18,2.3864118E-16
3980.2886,3.3860582E-17,5.2111436E-18,2.725108E-16
3985.8083,2.4520808E-17,5.1807066E-18,2.8502278E-16
3991.328,4.5046678E-17,5.3465208E-18,2.9104192E-16
3996.8477,3.02193E-17,5.2636112E-18,3.0310846E-16
4002.3672,3.986613E-17,5.314227E-18,3.0462582E-16
4007.887,4.264564E-17,5.3134265E-18,3.055517E-16
4013.4065,3.031399E-17,5.2377916E-18,3.1430875E-16
4018.9263,2.4551894E-17,5.1592516E-18,3.1350286E-16
4024.4458,2.7277695E-17,5.1365546E-18,3.1153912E-16
4029.9656,2.6044189E-17,5.0977003E-18,3.0945224E-16
4035.485,3.6752207E-17,5.129441E-18,3.0465787E-16
4041.0046,3.5437324E-17,5.177961E-18,3.2183102E-16
4046.5244,3.8213425E-17,5.0752924E-18,3.0190388E-16
4052.044,4.3276564E-17,5.102217E-18,3.0276695E-16
4057.5637,4.387519E-17,5.085039E-18,3.0410738E-16
4063.0833,5.0190606E-17,5.1343316E-18,3.095529E-16
4068.603,5.640597E-17,5.162808E-18,3.0993587E-16
4074.1226,4.28969E-17,5.0350004E-18,3.0862612E-16
4079.6423,2.471082E-17,4.892425E-18,3.1264007E-16
4085.1619,2.8924306E-17,4.8593126E-18,3.0232768E-16
4090.6816,3.6785235E-17,4.8186985E-18,2.8651903E-16
4096.201,3.5782685E-17,4.7211065E-18,2.709586E-16
4101.7207,2.6112699E-17,4.655984E-18,2.7760973E-16
4107.2407,2.6448576E-17,4.642946E-18,2.7808555E-16
4112.7603,4.0058812E-17,4.736022E-18,2.7909516E-16
4118.28,4.3419064E-17,4.8021503E-18,2.9092937E-16
4123.7993,3.8027346E-17,4.757869E-18,2.934104E-16
4129.3193,4.8001155E-17,4.798376E-18,2.908104E-16
4134.839,2.6982036E-17,4.6613873E-18,2.9860434E-16
4140.3584,3.8170038E-17,4.700355E-18,2.9229712E-16
4145.878,4.0987114E-17,4.649247E-18,2.814953E-16
4151.3975,3.436726E-17,4.6308487E-18,2.902012E-16
4156.9175,3.8667527E-17,4.709E-18,3.0414896E-16
4162.437,3.760332E-17,4.75224E-18,3.188278E-16
4167.9565,4.250455E-17,4.7623232E-18,3.169471E-16
4173.476,3.758409E-17,4.681337E-18,3.0921089E-16
4178.996,3.9798286E-17,4.592777E-18,2.909388E-16
4184.5156,3.1611127E-17,4.4764173E-18,2.8222211E-16
4190.035,3.531761E-17,4.446354E-18,2.7161152E-16
4195.5547,3.4037552E-17,4.4154558E-18,2.7022106E-16
4201.0747,4.178005E-17,4.395255E-18,2.572738E-16
4206.594,4.8023684E-17,4.439076E-18,2.5947915E-16
4212.114,2.9056903E-17,4.3410873E-18,2.7121503E-16
4217.6333,4.1650125E-17,4.351659E-18,2.5674275E-16
4223.1533,4.207146E-17,4.311148E-18,2.5017221E-16
4228.673,3.764437E-17,4.238048E-18,2.4513933E-16
4234.1924,3.6359442E-17,4.1887905E-18,2.4175646E-16
4239.712,2.914134E-17,4.1955647E-18,2.5724454E-16
4245.2314,3.4350706E-17,4.1928995E-18,2.5112052E-16
4250.7515,4.5759254E-17,4.246807E-18,2.4833428E-16
4256.271,4.1824032E-17,4.312947E-18,2.7042017E-16
4261.7905,4.6740952E-17,4.315634E-18,2.6616224E-16
4267.31,4.5922682E-17,4.266633E-18,2.5943658E-16
4272.83,4.0399203E-17,4.1897227E-18,2.5328614E-16
4278.3496,3.949233E-17,4.140973E-18,2.468926E-16
4283.869,3.4478238E-17,4.0459484E-18,2.3661905E-16
4289.3887,3.4789734E-17,4.028172E-18,2.3508057E-16
4294.9087,3.0243937E-17,3.932285E-18,2.2462723E-16
4300.428,2.7094705E-17,3.8433686E-18,2.1338668E-16
4305.9478,4.7718395E-17,3.961006E-18,2.079528E-16
4311.4673,4.2245818E-17,3.993918E-18,2.253596E-16
4316.9873,4.6502347E-17,4.068221E-18,2.3663356E-16
4322.507,3.5075906E-17,4.0617343E-18,2.5513315E-16
4328.0264,3.318386E-17,4.001147E-18,2.4822912E-16
4333.546,3.8034913E-17,3.9670424E-18,2.3442164E-16
4339.066,3.3205905E-17,3.9560004E-18,2.4263198E-16
4344.5854,5.7142523E-17,4.0523314E-18,2.2689538E-16
4350.105,4.944301E-17,4.0630537E-18,2.4359447E-16
4355.6245,5.293501E-17,4.1593177E-18,2.6187914E-16
4361.144,4.1438086E-17,4.0876975E-18,2.6623548E-16
4366.664,5.627425E-17,4.1341296E-18,2.559942E-16
4372.1836,5.3390432E-17,4.102443E-18,2.5402968E-16
4377.703,5.556637E-17,4.0648817E-18,2.445846E-16
4383.2227,4.573281E-17,3.9764946E-18,2.4238443E-16
4388.7427,4.2659514E-17,3.9334936E-18,2.3917685E-16
4394.262,5.735268E-17,4.0194063E-18,2.3747908E-16
4399.7817,5.645385E-17,4.0707572E-18,2.5225666E-16
4405.3013,4.666977E-17,4.062142E-18,2.6836124E-16
4410.8213,4.520866E-17,4.106958E-18,2.8231804E-16
4416.341,3.8464987E-17,4.10624E-18,2.9496737E-16
4421.8604,4.884922E-17,4.135237E-18,2.8736112E-16
4427.38,4.0754735E-17,4.1100566E-18,2.9637633E-16
4432.9,5.669683E-17,4.1037042E-18,2.711827E-16
4438.4194,3.694297E-17,3.9827212E-18,2.7622496E-16
4443.939,4.9538477E-17,4.0180927E-18,2.6639287E-16
4449.4585,5.1170872E-17,4.008574E-18,2.626683E-16
4454.978,5.9080144E-17,4.005236E-18,2.507845E-16
4460.498,5.3024534E-17,3.9685243E-18,2.5353456E-16
4466.0176,4.8301988E-17,3.928363E-18,2.5325475E-16
4471.537,4.916239E-17,3.9252073E-18,2.532702E-16
4477.0566,5.0348657E-17,3.926609E-18,2.5293002E-16
4482.5767,4.9234445E-17,3.93727E-18,2.5924378E-16
4488.096,4.81716E-17,3.9355736E-18,2.618076E-16
4493.6157,4.9937284E-17,3.9464597E-18,2.6418074E-16
4499.1353,5.0339367E-17,3.9539146E-18,2.6601885E-16
4504.6553,5.6168396E-17,4.0389517E-18,2.7830535E-16
4510.175,5.3934164E-17,4.0055448E-18,2.7543711E-16
4515.6943,6.072176E-17,3.9810735E-18,2.6072736E-16
4521.214,4.6036092E-17,3.896467E-18,2.656174E-16
4526.734,4.6272215E-17,3.91253E-18,2.7062134E-16
4532.2534,5.1766237E-17,3.9049344E-18,2.6113732E-16
4537.773,4.7987606E-17,3.9344064E-18,2.7621279E-16
4543.2925,5.599851E-17,3.9903073E-18,2.7720617E-16
4548.8125,6.178504E-17,3.969453E-18,2.647248E-16
4554.332,5.0013514E-17,3.902529E-18,2.682304E-16
4559.8516,4.524112E-17,3.877596E-18,2.7111177E-16
4565.371,4.925322E-17,3.861706E-18,2.6234723E-16
4570.8906,6.390565E-17,3.913872E-18,2.52471E-16
4576.4106,6.26354E-17,3.865485E-18,2.4395489E-16
4581.93,5.62681E-17,3.8851482E-18,2.600202E-16
4587.4497,5.3215573E-17,3.8184783E-18,2.4994275E-16
4592.969,4.7882713E-17,3.796448E-18,2.544391E-16
4598.4893,5.231937E-17,3.817361E-18,2.5383055E-16
4604.009,4.3336515E-17,3.763976E-18,2.571288E-16
4609.5283,4.3591254E-17,3.759768E-18,2.5660032E-16
4615.048,5.8002824E-17,3.7822503E-18,2.3974786E-16
4620.568,5.6688884E-17,3.8125602E-18,2.4979462E-16
4626.0874,5.2814913E-17,3.771395E-18,2.475607E-16
4631.607,5.5322683E-17,3.7585433E-18,2.4153875E-16
4637.1265,4.659358E-17,3.7205947E-18,2.4677453E-16
4642.6465,5.007503E-17,3.7017817E-18,2.3845505E-16
4648.166,5.876109E-17,3.7916123E-18,2.4678112E-16
4653.6855,5.41363E-17,3.7613296E-18,2.4758572E-16
4659.205,5.4364394E-17,3.757605E-18,2.473895E-16
4664.7246,4.7861944E-17,3.736747E-18,2.540265E-16
4670.2446,6.046684E-17,3.7590913E-18,2.3961003E-16
4675.764,4.060563E-17,3.6447956E-18,2.4526276E-16
4681.2837,4.452896E-17,3.69968E-18,2.5234716E-16
4686.803,4.156378E-17,3.661032E-18,2.494507E-16
4692.323,4.0889225E-17,3.646013E-18,2.4788814E-16
4697.843,4.0808515E-17,3.631456E-18,2.4532917E-16
4703.3623,4.816715E-17,3.6212573E-18,2.3196818E-16
4708.882,4.6818307E-17,3.6206225E-18,2.355482E-16
4714.402,5.016074E-17,3.656698E-18,2.386766E-16
4719.9214,5.3273525E-17,3.6752636E-18,2.3922217E-16
4725.441,5.2067764E-17,3.655576E-18,2.3686368E-16
4730.9604,4.9308706E-17,3.6209844E-18,2.3426666E-16
4736.4805,4.3078345E-17,3.5577878E-18,2.3051748E-16
4742.0,5.0943433E-17,3.587729E-18,2.2572504E-16
4747.5195,5.3333747E-17,3.6232926E-18,2.3060054E-16
4753.039,6.4884147E-17,3.6620733E-18,2.2248062E-16
4758.559,5.108067E-17,3.571703E-18,2.2335743E-16
4764.0786,5.1092948E-17,3.587277E-18,2.2804687E-16
4769.598,6.2936864E-17,3.8809966E-18,2.1990387E-16
4775.1177,4.590152E-17,3.5567083E-18,2.311154E-16
4780.637,4.8784674E-17,3.5472197E-18,2.2446016E-16
4786.157,5.304148E-17,3.5664107E-18,2.225866E-16
4791.677,4.8687867E-17,3.5435553E-18,2.2525653E-16
4797.1963,5.126764E-17,3.5376323E-18,2.2016336E-16
4802.716,5.475083E-17,3.552323E-18,2.1875507E-16
4808.236,5.3512124E-17,3.582866E-18,2.284704E-16
4813.7554,5.577954E-17,3.5794053E-18,2.2445163E-16
4819.275,5.703936E-17,3.620795E-18,2.336937E-16
4824.7944,5.825252E-17,3.630182E-18,2.3443267E-16
4830.3145,5.7852324E-17,3.6339347E-18,2.3642407E-16
4835.834,4.8241898E-17,3.5818372E-18,2.40359E-16
4841.3535,5.3842804E-17,3.5834986E-18,2.3248188E-16
4846.873,5.682427E-17,3.5608947E-18,2.2250184E-16
4852.393,6.139194E-17,3.5129298E-18,2.0549905E-16
4857.9126,6.210993E-17,3.512181E-18,2.0419035E-16
4863.432,5.708527E-17,3.4595497E-18,2.0064356E-16
4868.9517,5.563677E-17,3.4560663E-18,2.030348E-16
4874.471,6.0653396E-17,3.486593E-18,2.0243749E-16
4879.991,5.800209E-17,3.5045976E-18,2.1118379E-16
4885.5107,5.5510595E-17,3.513375E-18,2.1805916E-16
4891.0303,5.6144884E-17,3.523278E-18,2.2037537E-16
4896.55,5.9128094E-17,3.5021454E-18,2.1123866E-16
4902.07,5.4371462E-17,3.5166533E-18,2.2283465E-16
4907.5894,6.200739E-17,3.54275E-18,2.1751675E-16
4913.109,5.991409E-17,3.4968655E-18,2.1054509E-16
4918.6284,6.686715E-17,3.5296727E-18,2.0828496E-16
4924.1484,6.062563E-17,3.4687041E-18,2.0441462E-16
4929.668,6.242077E-17,3.4901194E-18,2.0721199E-16
4935.1875,5.885429E-17,3.4790695E-18,2.1092502E-16
4940.707,5.751536E-17,3.45582E-18,2.0774687E-16
4946.227,5.6048197E-17,3.4568517E-18,2.1094047E-16
4951.7466,5.993132E-17,3.474405E-18,2.0987074E-16
4957.266,6.6107117E-17,3.470681E-18,2.0021506E-16
4962.7856,6.622126E-17,3.5360834E-18,2.0619572E-16
4968.3057,5.3353226E-17,3.4621492E-18,2.1906357E-16
4973.825,7.100456E-17,3.5188962E-18,2.0482931E-16
4979.3447,6.954026E-17,3.5033316E-18,2.043125E-16
4984.8643,6.204089E-17,3.455502E-18,2.0569413E-16
4990.384,5.853594E-17,3.4551144E-18,2.1172739E-16
4995.904,6.0128215E-17,3.4174882E-18,2.010009E-16
5001.4233,6.243044E-17,3.421297E-18,1.9880689E-16
5006.943,6.145513E-17,3.4151134E-18,1.9982475E-16
5012.4624,5.5455363E-17,3.3647584E-18,1.9804378E-16
5017.9824,5.966546E-17,3.3430707E-18,1.8652E-16
5023.502,5.8594775E-17,3.3486778E-18,1.8964227E-16
5029.0215,5.865537E-17,3.350349E-18,1.9097485E-16
5034.541,6.866098E-17,3.3781893E-18,1.823817E-16
5040.061,6.2777814E-17,3.3138466E-18,1.77477E-16
5045.5806,5.541337E-17,3.2899785E-18,1.836101E-16
5051.1,5.880729E-17,3.2953699E-18,1.8040972E-16
5056.6196,5.78411E-17,3.28458E-18,1.8008736E-16
5062.1396,5.395053E-17,3.2776432E-18,1.8490795E-16
5067.659,5.943029E-17,3.2864663E-18,1.79267E-16
5073.1787,6.509613E-17,3.3105325E-18,1.7581517E-16
5078.698,6.087334E-17,3.2802765E-18,1.7576337E-16
5084.218,5.98089E-17,3.2937904E-18,1.8089801E-16
5089.738,5.7932646E-17,3.291066E-18,1.8383368E-16
5095.2573,5.8459355E-17,3.2916933E-18,1.8369455E-16
5100.777,6.8283065E-17,3.3399272E-18,1.7973172E-16
5106.2964,6.566376E-17,3.285453E-18,1.7204258E-16
5111.8164,6.4046166E-17,3.2862934E-18,1.7503277E-16
5117.336,7.099328E-17,3.329E-18,1.7492823E-16
5122.8555,6.5317814E-17,3.2962686E-18,1.765663E-16
5128.375,6.295649E-17,3.275847E-18,1.7615658E-16
5133.895,5.69271E-17,3.2472826E-18,1.7963942E-16
5139.4146,5.2926612E-17,3.2278658E-18,1.8181824E-16
5144.934,6.32021E-17,3.284108E-18,1.7925302E-16
5150.4536,5.773743E-17,3.2827616E-18,1.8818182E-16
5155.9736,6.030266E-17,3.2504457E-18,1.7675194E-16
5161.493,5.8230074E-17,3.2219886E-18,1.7420759E-16
5167.0127,5.712691E-17,3.1639818E-18,1.6375315E-16
5172.532,6.5393174E-17,3.1929955E-18,1.5674056E-16
5178.0522,6.1364936E-17,3.1722461E-18,1.5917718E-16
5183.572,6.2253626E-17,3.2168855E-18,1.6788268E-16
5189.0913,6.425757E-17,3.2974285E-18,1.8393949E-16
5194.611,5.4294283E-17,3.3227614E-18,2.0668016E-16
5200.1304,5.342105E-17,3.308445E-18,2.052263E-16
5205.6504,6.289418E-17,3.312595E-18,1.9136818E-16
5211.17,6.6637465E-17,3.2736818E-18,1.7609218E-16
5216.6895,6.2136736E-17,3.2241685E-18,1.7298746E-16
5222.209,5.8012406E-17,3.1999521E-18,1.7413878E-16
5227.729,6.3135275E-17,3.2311598E-18,1.7291814E-16
5233.2485,6.327367E-17,3.2175707E-18,1.696465E-16
5238.768,6.3969986E-17,3.2382415E-18,1.7414366E-16
5244.2876,6.0136844E-17,3.2006825E-18,1.7175585E-16
5249.8076,5.1794847E-17,3.180397E-18,1.8093268E-16
5255.327,5.791045E-17,3.1799703E-18,1.7127252E-16
5260.8467,6.8017295E-17,3.177251E-18,1.5450688E-16
5266.366,6.533216E-17,3.1512694E-18,1.5311313E-16
